Td	ID	Tj	Df	Dd	Db
413	1111	399	0	14	14
413	1114	400	0	13	13
413	1154	412	0	1	1
414	1140	405	0	9	9
414	1149	412	0	2	2
414	1132	404	0	10	10
415	1156	415	0	0	0
415	1162	415	0	0	0
415	1158	415	0	0	0
416	1159	415	0	1	1
416	1161	415	0	1	1
419	1163	419	0	0	0
420	1164	419	0	1	1
420	1165	419	0	1	1
420	1166	419	0	1	1
421	1168	419	0	2	2
422	1172	422	0	0	0
423	1170	422	0	1	1
423	1171	422	0	1	1
423	1173	422	0	1	1
423	1174	422	0	1	1
423	1175	422	0	1	1
425	1178	425	0	0	0
425	1180	425	0	0	0
426	1177	425	0	1	1
426	1185	426	0	0	0
427	1194	427	0	0	0
427	1187	426	0	1	1
427	1189	426	0	1	1
427	1190	426	0	1	1
427	1193	427	0	0	0
427	1186	426	0	1	1
427	1191	427	0	0	0
427	1192	427	0	0	0
428	1196	427	0	1	1
428	1197	427	0	1	1
428	1153	412	0	16	16
429	1167	419	0	10	10
429	1198	429	0	0	0
429	1203	429	0	0	0
429	1199	429	0	0	0
429	1202	429	0	0	0
429	1200	429	0	0	0
429	1201	429	0	0	0
430	1209	430	0	0	0
430	1204	429	0	1	1
430	1208	430	0	0	0
431	1210	430	0	1	1
431	1184	426	0	5	5
431	587	206	0	225	225
431	1017	372	0	59	59
431	1205	430	0	1	1
431	1206	430	0	1	1
434	1213	434	0	0	0
434	1214	434	0	0	0
435	1217	434	0	1	1
435	1212	434	0	1	1
435	1219	435	0	0	0
436	1222	435	0	1	1
436	1223	435	0	1	1
436	1224	435	0	1	1
436	1225	435	0	1	1
436	1221	435	0	1	1
436	1227	436	0	0	0
437	1231	436	0	1	1
437	1226	436	0	1	1
437	1230	436	0	1	1
438	1220	435	0	3	3
438	1232	436	0	2	2
439	1239	439	0	0	0
439	1236	439	0	0	0
439	1238	439	0	0	0
440	1243	440	0	0	0
440	1237	439	0	1	1
440	1235	439	0	1	1
440	1233	439	0	1	1
440	1240	440	0	0	0
440	1244	440	0	0	0
441	1252	441	0	0	0
441	1242	440	0	1	1
441	1228	436	0	5	5
441	1251	441	0	0	0
441	1248	441	0	0	0
442	1259	442	0	0	0
442	1253	441	1	0	1
442	1255	442	0	0	0
443	1241	440	3	0	3
443	1144	409	0	34	34
443	1216	434	0	9	9
443	1247	441	0	2	2
443	1256	442	1	0	1
443	1257	442	0	1	1
443	1261	443	0	0	0
445	1270	445	0	0	0
445	1218	434	0	11	11
445	1254	442	1	2	3
445	1258	442	1	2	3
445	1260	442	1	2	3
445	1071	387	0	58	58
446	1169	419	0	27	27
446	1215	434	0	12	12
446	1229	436	0	10	10
446	1117	400	0	46	46
446	1182	425	0	21	21
